OBJECTID,名称,建造时间,建筑面积,层数,结构类型,层高,特殊情况,结构功能,占地面积
1,新北川建筑,2010,3640.977158,2,0,3.6,无,住宅,3640.977158
2,新北川建筑,2010,4588.624063,3,0,3.6,无,住宅,4588.624063
3,新北川建筑,2010,1137.717254,3,0,3.6,无,住宅,1137.717254
4,新北川建筑,2010,474.0288189,1,0,3.6,无,住宅,474.0288189
5,新北川建筑,2010,1229.212795,3,0,3.6,无,住宅,1229.212795
6,新北川建筑,2010,205.7171654,5,0,3.6,无,住宅,205.7171654
7,新北川建筑,2010,1124.311047,3,0,3.6,无,住宅,1124.311047
8,新北川建筑,2010,936.3089338,3,0,3.6,无,住宅,936.3089338
9,新北川建筑,2010,368.3402861,2,0,3.6,无,住宅,368.3402861
10,新北川建筑,2010,1537.472909,5,0,3.6,无,住宅,1537.472909
11,新北川建筑,2010,58.74814073,1,0,3.6,无,住宅,58.74814073
12,新北川建筑,2010,1756.585273,4,0,3.6,无,住宅,1756.585273
13,新北川建筑,2010,4290.238204,4,0,3.6,无,住宅,4290.238204
14,新北川建筑,2010,1476.986418,4,0,3.6,无,住宅,1476.986418
15,新北川建筑,2010,2142.942254,3,0,3.6,无,住宅,2142.942254
16,新北川建筑,2010,74.83705038,1,0,3.6,无,住宅,74.83705038
17,新北川建筑,2010,467.7065198,6,0,3.3,无,住宅,467.7065198
18,新北川建筑,2010,732.6613819,6,0,3.3,无,住宅,732.6613819
19,新北川建筑,2010,576.1434748,2,0,3.6,无,住宅,576.1434748
20,新北川建筑,2010,551.0000517,1,0,3.6,无,住宅,551.0000517
21,新北川建筑,2010,617.8215878,2,0,3.6,无,住宅,617.8215878
22,新北川建筑,2010,645.5765815,6,0,3.3,无,住宅,645.5765815
23,新北川建筑,2010,712.706711,6,0,3.3,无,住宅,712.706711
24,新北川建筑,2010,485.5436136,6,0,3.3,无,住宅,485.5436136
25,新北川建筑,2010,659.6586322,6,0,3.3,无,住宅,659.6586322
26,新北川建筑,2010,9709.493835,1,0,10,无,住宅,9709.493835
27,新北川建筑,2010,805.5921124,6,0,3.3,无,住宅,805.5921124
28,新北川建筑,2010,655.8833906,6,0,3.3,无,住宅,655.8833906
29,新北川建筑,2010,651.1024858,6,0,3.3,无,住宅,651.1024858
30,新北川建筑,2010,720.5943111,2,0,3.6,无,住宅,720.5943111
31,新北川建筑,2010,443.4933862,6,0,3.3,无,住宅,443.4933862
32,新北川建筑,2010,721.8379367,6,0,3.3,无,住宅,721.8379367
33,新北川建筑,2010,637.000943,6,0,3.3,无,住宅,637.000943
34,新北川建筑,2010,656.3004823,6,0,3.3,无,住宅,656.3004823
35,新北川建筑,2010,940.7978837,6,0,3.3,无,住宅,940.7978837
36,新北川建筑,2010,485.5993619,6,0,3.3,无,住宅,485.5993619
37,新北川建筑,2010,682.4588063,6,0,3.3,无,住宅,682.4588063
38,新北川建筑,2010,633.7475694,6,0,3.3,无,住宅,633.7475694
39,新北川建筑,2010,261.6938268,1,0,3.6,无,住宅,261.6938268
40,新北川建筑,2010,627.2704046,6,0,3.3,无,住宅,627.2704046
41,新北川建筑,2010,659.9975453,6,0,3.3,无,住宅,659.9975453
42,新北川建筑,2010,9418.480497,1,0,10,无,住宅,9418.480497
43,新北川建筑,2010,440.3381853,2,0,3.6,无,住宅,440.3381853
44,新北川建筑,2010,750.5442672,6,0,3.3,无,住宅,750.5442672
45,新北川建筑,2010,908.7094297,6,0,3.3,无,住宅,908.7094297
46,新北川建筑,2010,1128.408128,6,0,3.3,无,住宅,1128.408128
47,新北川建筑,2010,1023.500085,6,0,3.3,无,住宅,1023.500085
48,新北川建筑,2010,1140.70352,6,0,3.3,无,住宅,1140.70352
49,新北川建筑,2010,13397.71432,1,0,10,无,住宅,13397.71432
50,新北川建筑,2010,1361.626123,2,0,3.6,无,住宅,1361.626123
51,新北川建筑,2010,3294.447759,1,0,10,无,住宅,3294.447759
52,新北川建筑,2010,706.1192743,6,0,3.3,无,住宅,706.1192743
53,新北川建筑,2010,758.6650916,6,0,3.3,无,住宅,758.6650916
54,新北川建筑,2010,924.538261,6,0,3.3,无,住宅,924.538261
55,新北川建筑,2010,918.0700561,6,0,3.3,无,住宅,918.0700561
56,新北川建筑,2010,567.2724363,6,0,3.3,无,住宅,567.2724363
57,新北川建筑,2010,487.7611662,2,0,3.6,无,住宅,487.7611662
58,新北川建筑,2010,1131.252405,6,0,3.3,无,住宅,1131.252405
59,新北川建筑,2010,1883.509462,1,0,10,无,住宅,1883.509462
60,新北川建筑,2010,886.7622523,6,0,3.3,无,住宅,886.7622523
